address,classification,details,fone,link,name,position,has_instagram,has_facebook,link_problem,facebook_link,instagram_link
"Av. João Pessoa, 2899 - sala 01","5,0",Advogado, (42) 3522-2667 · ,http://www.guerinadvocacia.com.br/,Guerin Advocacia,71,True,True,,,
"R. Sete de Setembro, 841","5,0",Advogado, (42) 99949-6283 · ,http://www.instagram.com/fabimoreira3,Fabiana Moreira Advocacia,72,True,False,,,
"Rua Lauro Müller, 346","5,0",Advogado trabalhista, (42) 99975-0871 · ,,Escritório de Advocacia Viviane Maria Scholz Borges,73,,,,,
"R. Padre Anchieta, 70","5,0",Advogado, (42) 3522-0498 · ,,Escritório de Advocacia Doutora Grasiele Barcelos Amaral,74,,,,,
"R. Matos Costa, 33","5,0",Advogado, (42) 3523-3071 · ,,Escritório de Advocacia Dr Getúlio Pereira,75,,,,,
"R. Sete de Setembro, 218","4,8",Advogado, (42) 3522-1992 · ,,Acir Oliskowski,76,,,,,
"R. Paraná, nº 364","5,0",Escritório de advocacia, (42) 99158-9023 · ,http://loures.adv.br/,Loures & Zabandzala Advocacia - Advogadas Célia Claudia Loures e Neide Zabandzala,77,False,False,,,
"R. Matos Costa, 532","5,0",Advogado, (42) 3524-4053 · ,,Escritório de Advocacia Marcos Antônio Bohrer,78,,,,,
"R. Matos Costa, 783","4,9",Escritório de advocacia, (42) 3522-0048 · ,http://www.richartadvogados.com.br/,Richart & Advogados Empresarial,79,False,True,,https://www.facebook.com/richartadvogados,
"R. Sete de Setembro, 842","5,0",Advogado, (42) 3523-9141 · ,,Antonia Silvia Maria de Agostinho,80,,,,,
"R. Prudente de Morais, 241","5,0",Advogado, (42) 3523-6652 · ,http://www.blrs.adv.br/,Maicon Lazier Reichel Advogado,81,True,True,,,
"R. Voluntários da Pátria, 197","5,0",Escritório de advocacia, (42) 99950-3801 · ,https://sw-advocacia-e-assessoria.negocio.site/?utm_source=gmb&utm_medium=referral,SW Advocacia e Assessoria,82,False,False,,,
"R. Matos Costa, 33 - 7.° andar, Sala 703","5,0",Advogado Civil, (42) 3524-5159 · ,https://irapuan-caesar-da-costa-advogado.negocio.site/,Irapuan Caesar da Costa - Advogado,83,False,False,,,
"R. Sete de Setembro, 870, 1 - º andar, sala ""D","4,5",Advogado, (42) 99938-4597 · ,http://scaramella.adv.br/,Felipe Scaramella - Assessoria Jurídica,84,False,False,,,
Av. Getúlio Vargas,"5,0",Advogado previdenciário, (42) 99948-7135 · ,http://carneiroprev.adv.br/,Advocacia Previdenciária - Lucas Carneiro Sloboda,85,False,False,,,
"nº 327, sala 06., R. Mal. Floriano Peixoto","5,0",Escritório de advocacia, (42) 3524-7558 · ,,Spautz & Sadlowski,86,,,,,
"Rua Atílio Marcola, 226 - Cidade Nova, Porto União - SC esquina com, R. Joaquim Nabuco","4,0",Empresa de Auditoria, (42) 3522-4983 · ,,Auditoria e Advocacia Cunha,87,,,,,
