address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"R. Joinville, 468","5,0",Assessoria contábil, (47) 3348-2850 · ,http://www.mcmcontabilidade.com.br/,MCM Contabilidade,15,,True,True,https://www.facebook.com/MCMContabilidadee/,https://www.instagram.com/?hl=pt-br
"R. José Pereira Liberato, n 987 - sala 107","5,0",Assessoria contábil, (47) 3045-1950 · ,https://www.facebook.com/Agsouzaorganizacaocontabil/,AGSouza Organização Contabil Ltda,16,,True,True,https://web.facebook.com/Agsouzaorganizacaocontabil/posts,
"R. Ver. Luís Soares, 20","5,0",Consultor fiscal, (47) 3045-4445 · ,http://www.allbatroz.com.br/,Allbatroz Contabilidade,17,,True,True,https://www.facebook.com/allbatroz,https://www.instagram.com/allbatrozcontabilidade/
"R. Brusque, 506","5,0",Assessoria contábil, (47) 3348-1090 · ,,Efficiencia Contabilidade,18,,,,,
"R. João Antônio Azevedo, 162","5,0",Escritório de contabilidade, (47) 2125-3383 · ,http://www.contnovaera.com.br/,Nova Era Contabilidade,19,,False,False,,
"R. Uruguai, 1285","4,7",Assessoria contábil, (47) 99138-0696 · ,http://www.jfcontabilidade.com.br/,JF Contabilidade e Administração de Empresas e Condomínios.,20,,False,True,https://pt-br.facebook.com/jfcontabilidadesc,
"R. Francisco de Paula Seara, 147","5,0",Assessoria contábil, (47) 3248-3369 · ,http://contabilidadercs.com.br/,RCS Contabilidade,21,,True,True,,
"Rua José Eugênio Müller, nº 330",,Assessoria contábil, (47) 3046-3320 · ,https://gpcontabilidade.net/,Contabilidade em Itajaí - SC | GP Contabilidade,22,,True,True,https://www.facebook.com/GP-Contabilidade-176040319754152,https://www.instagram.com/gpcontabilidade/
"Av. Cel. Marcos Konder, 1313, Cobertura A","5,0",Assessoria contábil, (47) 3348-9152 · ,http://www.mctc.com.br/,Memphis Assessoria Contabil - Itajaí SC,47,True,,,,
"R. Menina Rosana da Silva, 22","5,0",Escritório de contabilidade, (47) 3348-4897 · ,https://www.facebook.com/mrsantoscontabilidade,MR Santos Contabilidade LTDA,48,,True,True,https://web.facebook.com/mrsantoscontabilidade/posts,
"R. Agílio Cunha, 760","5,0",Assessoria contábil, (47) 3349-0039 · ,,MBM Contabilidade,49,,,,,
"Endereço:, Rua Vereador Nestor dos Santos, 1240","5,0",Assessoria contábil, (47) 3081-0861 · ,,Ecaf Assessoria Contabil E Fiscal,50,,,,,
"R. Alberto Werner, 994","5,0",Assessoria contábil, (47) 3349-1969 · ,,AMS Contabilidade,51,,,,,
"Rua Albino Gugelmin, 501","4,0",Escritório de contabilidade, (47) 3349-5109 · ,https://cotacontabil.com.br/,Cota Assessoria Contábil,52,,True,True,https://www.facebook.com/cotacontabilidade,https://www.instagram.com/cotaassessoriacontabil/
