team_back,team_home,score,datetime
                Uruguay,                Japan,                    1 - 2,2020-01-31 20:43:00
                Poland,                Italy,                    2 - 0,2020-01-31 20:46:00
                Iran,                Uruguay,                    2 - 2,2020-01-31 20:49:00
                Holland,                Italy,                    0 - 1,2020-01-31 20:52:00
                Russia,                Italy,                    2 - 2,2020-01-31 20:55:00
                Portugal,                Holland,                    1 - 0,2020-01-31 20:58:00
                Croatia,                Portugal,                    1 - 1,2020-01-31 21:01:00
                Germany,                Republic of Ireland,                    0 - 2,2020-01-31 21:04:00
                Poland,                Republic of Ireland,                    3 - 0,2020-01-31 21:07:00
                Ukraine,                Poland,                    1 - 1,2020-01-31 21:10:00
                Colombia,                Ecuador,                    1 - 1,2020-01-31 21:13:00
                Ghana,                Costa Rica,                    0 - 0,2020-01-31 21:16:00
                Cameroon,                Costa Rica,                    1 - 1,2020-01-31 21:19:00
                Costa Rica,                Spain,                    2 - 0,2020-01-31 21:22:00
                Mexico,                Belgium,                    1 - 1,2020-01-31 21:25:00
                Italy,                Czech Republic,                    0 - 0,2020-01-31 21:28:00
                Uruguay,                Italy,                    3 - 0,2020-01-31 21:31:00
                Croatia,                Iran,                    0 - 1,2020-01-31 21:34:00
                Russia,                Costa Rica,                    1 - 1,2020-01-31 21:37:00
                Italy,                Russia,                    1 - 1,2020-01-31 21:40:00
                Italy,                Uruguay,                    2 - 1,2020-01-31 21:43:00
                Russia,                Spain,                    2 - 2,2020-01-31 21:46:00
