team_back,team_home,score,datetime
Japan,Spain,2 - 2,2020-04-06 17:19:00
Ghana,Japan,0 - 1,2020-04-06 17:22:00
Greece,Portugal,0 - 0,2020-04-06 17:25:00
Czech Republic,Croatia,0 - 0,2020-04-06 17:28:00
Greece,Poland,2 - 2,2020-04-06 17:31:00
Croatia,Poland,1 - 1,2020-04-06 17:34:00
Russia,Czech Republic,0 - 1,2020-04-06 17:37:00
Iran,Ivory Coast,1 - 0,2020-04-06 17:40:00
Colombia,England,2 - 1,2020-04-06 17:43:00
Republic of Ireland,Spain,0 - 0,2020-04-06 17:46:00
Poland,Portugal,3 - 1,2020-04-06 17:49:00
Italy,Denmark,1 - 3,2020-04-06 17:52:00
England,Italy,1 - 0,2020-04-06 17:55:00
Croatia,Denmark,1 - 1,2020-04-06 18:01:00
Uruguay,Ecuador,1 - 2,2020-04-06 18:04:00
Croatia,Spain,1 - 1,2020-04-06 18:07:00
Italy,Mexico,3 - 0,2020-04-06 18:10:00
Greece,Honduras,0 - 4,2020-04-06 18:13:00
Bosnia H,Cameroon,3 - 1,2020-04-06 18:16:00
Portugal,Ukraine,1 - 1,2020-04-06 18:19:00
Sweden,Holland,2 - 0,2020-04-06 18:22:00
Holland,Croatia,1 - 1,2020-04-06 18:25:00
Holland,Germany,0 - 2,2020-04-06 18:28:00
Croatia,Portugal,1 - 3,2020-04-06 18:31:00
Republic of Ireland,Russia,3 - 0,2020-04-06 18:34:00
Czech Republic,Portugal,2 - 0,2020-04-06 18:37:00
Sweden,France,3 - 0,2020-04-06 18:40:00
France,Greece,2 - 2,2020-04-06 18:43:00
Algeria,Nigeria,0 - 0,2020-04-06 18:46:00
Switzerland,South Korea,1 - 1,2020-04-06 18:49:00
Uruguay,Iran,2 - 1,2020-04-06 18:52:00
Cameroon,France,2 - 0,2020-04-06 18:55:00
Croatia,Russia,0 - 2,2020-04-06 18:58:00
                Poland,                Holland,                    1 - 0,2020-04-06 19:01:00
                Mexico,                Uruguay,                    1 - 1,2020-04-06 19:04:00
                Greece,                Spain,                    1 - 1,2020-04-06 19:07:00
                Spain,                Holland,                    0 - 1,2020-04-06 19:10:00
                Germany,                Italy,                    2 - 0,2020-04-06 19:13:00
                Germany,                Holland,                    3 - 0,2020-04-06 19:16:00
                Holland,                Germany,                    2 - 0,2020-04-06 19:19:00
                Switzerland,                Spain,                    1 - 1,2020-04-06 19:22:00
                Ukraine,                Denmark,                    1 - 0,2020-04-06 19:25:00
                Italy,                Czech Republic,                    2 - 1,2020-04-06 19:28:00
                Croatia,                France,                    2 - 1,2020-04-06 19:31:00
                USA,                Algeria,                    0 - 0,2020-04-06 19:34:00
                Japan,                Switzerland,                    3 - 0,2020-04-06 19:37:00
                Republic of Ireland,                Denmark,                    0 - 0,2020-04-06 19:40:00
                Belgium,                Honduras,                    0 - 2,2020-04-06 19:43:00
                Czech Republic,                Sweden,                    0 - 0,2020-04-06 19:46:00
                Iran,                Ecuador,                    2 - 1,2020-04-06 19:49:00
                Sweden,                Greece,                    3 - 0,2020-04-06 19:52:00
                Sweden,                Czech Republic,                    1 - 2,2020-04-06 19:55:00
                Italy,                Croatia,                    1 - 0,2020-04-06 19:58:00
                Spain,                Denmark,                    0 - 0,2020-04-06 20:01:00
                Czech Republic,                Holland,                    1 - 2,2020-04-06 20:04:00
                Czech Republic,                Croatia,                    0 - 3,2020-04-06 20:07:00
                Republic of Ireland,                Spain,                    2 - 0,2020-04-06 20:10:00
                England,                Ivory Coast,                    0 - 3,2020-04-06 20:13:00
                France,                Honduras,                    0 - 2,2020-04-06 20:16:00
                Honduras,                England,                    3 - 0,2020-04-06 20:19:00
                England,                Switzerland,                    1 - 1,2020-04-06 20:22:00
                USA,                Croatia,                    0 - 2,2020-04-06 20:25:00
                Holland,                Ukraine,                    1 - 1,2020-04-06 20:28:00
                Japan,                Cameroon,                    0 - 0,2020-04-06 20:31:00
                Cameroon,                Russia,                    2 - 0,2020-04-06 20:34:00
                Spain,                Switzerland,                    2 - 0,2020-04-06 20:37:00
                Republic of Ireland,                England,                    2 - 0,2020-04-06 20:40:00
                Ivory Coast,                Nigeria,                    2 - 0,2020-04-06 20:43:00
                Holland,                Spain,                    1 - 0,2020-04-06 20:46:00
                Germany,                Ivory Coast,                    0 - 3,2020-04-06 20:49:00
                Russia,                Colombia,                    3 - 1,2020-04-06 20:52:00
                Portugal,                Russia,                    0 - 0,2020-04-06 20:55:00
                Nigeria,                South Korea,                    1 - 0,2020-04-06 20:58:00
                France,                Denmark,                    1 - 1,2020-04-06 21:01:00
                Poland,                Italy,                    1 - 0,2020-04-06 21:04:00
                Brazil,                Colombia,                    1 - 1,2020-04-06 21:07:00
                USA,                Cameroon,                    0 - 2,2020-04-06 21:10:00
                Portugal,                Italy,                    0 - 1,2020-04-06 21:13:00
                Portugal,                Czech Republic,                    0 - 1,2020-04-06 21:16:00
                Germany,                Croatia,                    1 - 3,2020-04-06 21:19:00
                England,                Croatia,                    1 - 0,2020-04-06 21:22:00
                Croatia,                England,                    3 - 1,2020-04-06 21:25:00
                Ivory Coast,                Iran,                    1 - 0,2020-04-06 21:28:00
                Greece,                Denmark,                    0 - 1,2020-04-06 21:31:00
                Portugal,                Costa Rica,                    4 - 0,2020-04-06 21:34:00
                Spain,                Ghana,                    0 - 2,2020-04-06 21:37:00
                Ukraine,                Poland,                    3 - 0,2020-04-06 21:40:00
                Belgium,                Brazil,                    0 - 2,2020-04-06 21:43:00
                Mexico,                Brazil,                    0 - 1,2020-04-06 21:46:00
                South Korea,                Colombia,                    2 - 0,2020-04-06 21:49:00
                Ukraine,                England,                    1 - 1,2020-04-06 21:52:00
                Spain,                Italy,                    3 - 1,2020-04-06 21:55:00
                Denmark,                Ukraine,                    1 - 1,2020-04-06 21:58:00
                Russia,                Portugal,                    1 - 0,2020-04-06 22:01:00
                Poland,                Republic of Ireland,                    3 - 1,2020-04-06 22:04:00
                Republic of Ireland,                Russia,                    1 - 2,2020-04-06 22:07:00
                Germany,                Spain,                    1 - 0,2020-04-06 22:10:00
                Ecuador,                Costa Rica,                    2 - 1,2020-04-06 22:13:00
                Czech Republic,                Germany,                    0 - 0,2020-04-06 22:16:00
                Croatia,                Portugal,                    2 - 1,2020-04-06 22:19:00
                Greece,                Poland,                    0 - 2,2020-04-06 22:22:00
                France,                Russia,                    1 - 1,2020-04-06 22:25:00
                Italy,                Greece,                    2 - 0,2020-04-06 22:40:00
                Australia,                Algeria,                    0 - 2,2020-04-06 22:43:00
                Greece,                Holland,                    1 - 1,2020-04-06 22:46:00
                Russia,                Portugal,                    0 - 1,2020-04-06 22:49:00
                Spain,                France,                    0 - 2,2020-04-06 22:52:00
                England,                Denmark,                    0 - 1,2020-04-06 22:55:00
                Denmark,                Italy,                    3 - 0,2020-04-06 22:58:00
                Czech Republic,                Italy,                    0 - 1,2020-04-06 23:01:00
                Ivory Coast,                Germany,                    1 - 1,2020-04-06 23:04:00
                Holland,                Germany,                    2 - 0,2020-04-06 23:07:00
                Belgium,                Australia,                    1 - 0,2020-04-06 23:10:00
                Nigeria,                South Korea,                    0 - 1,2020-04-06 23:13:00
                Mexico,                Russia,                    1 - 1,2020-04-06 23:16:00
                Japan,                Portugal,                    2 - 0,2020-04-06 23:19:00
                Mexico,                Argentina,                    3 - 0,2020-04-06 23:22:00
                Czech Republic,                Russia,                    2 - 1,2020-04-06 23:25:00
                Nigeria,                Ecuador,                    2 - 2,2020-04-06 23:28:00
                Switzerland,                Cameroon,                    0 - 1,2020-04-06 23:31:00
                Costa Rica,                Ghana,                    1 - 1,2020-04-06 23:34:00
                South Korea,                USA,                    2 - 0,2020-04-06 23:37:00
                Spain,                Portugal,                    1 - 0,2020-04-06 23:40:00
                Spain,                South Korea,                    1 - 1,2020-04-06 23:43:00
                Spain,                Bosnia H,                    1 - 0,2020-04-06 23:46:00
                France,                Belgium,                    1 - 2,2020-04-06 23:49:00
                Denmark,                Poland,                    1 - 0,2020-04-06 23:52:00
                Republic of Ireland,                Russia,                    1 - 1,2020-04-06 23:55:00
                England,                Iran,                    0 - 1,2020-04-06 23:58:00
                Portugal,                Croatia,                    2 - 2,2020-04-07 00:01:00
                Sweden,                Poland,                    2 - 2,2020-04-07 00:04:00
                Japan,                Russia,                    0 - 1,2020-04-07 00:07:00
                Australia,                South Korea,                    1 - 1,2020-04-07 00:10:00
                Czech Republic,                Greece,                    2 - 0,2020-04-07 00:13:00
                Ivory Coast,                South Korea,                    2 - 0,2020-04-07 00:16:00
                Russia,                England,                    2 - 0,2020-04-07 00:19:00
                Mexico,                Uruguay,                    2 - 2,2020-04-07 00:22:00
                South Korea,                Croatia,                    1 - 0,2020-04-07 00:25:00
                Croatia,                Colombia,                    0 - 1,2020-04-07 00:28:00
                Poland,                France,                    1 - 0,2020-04-07 00:31:00
                Holland,                France,                    2 - 2,2020-04-07 00:34:00
                Ukraine,                France,                    1 - 1,2020-04-07 00:37:00
                Italy,                Bosnia H,                    2 - 1,2020-04-07 00:40:00
                Ivory Coast,                Belgium,                    2 - 2,2020-04-07 00:43:00
                Uruguay,                Belgium,                    3 - 0,2020-04-07 00:46:00
                Portugal,                Cameroon,                    1 - 3,2020-04-07 00:49:00
                Portugal,                Sweden,                    0 - 1,2020-04-07 00:52:00
                Germany,                Sweden,                    4 - 0,2020-04-07 00:55:00
                Russia,                Argentina,                    3 - 1,2020-04-07 00:58:00
                Sweden,                England,                    3 - 1,2020-04-07 01:01:00
                Argentina,                Portugal,                    0 - 0,2020-04-07 01:04:00
                Germany,                Poland,                    1 - 1,2020-04-07 01:07:00
                Portugal,                France,                    2 - 0,2020-04-07 01:10:00
                Spain,                Bosnia H,                    2 - 2,2020-04-07 01:13:00
                Argentina,                Nigeria,                    0 - 2,2020-04-07 01:16:00
                Sweden,                France,                    0 - 1,2020-04-07 01:19:00
                Russia,                Portugal,                    2 - 1,2020-04-07 01:22:00
                Spain,                Sweden,                    0 - 3,2020-04-07 01:25:00
                France,                Czech Republic,                    3 - 0,2020-04-07 01:28:00
                Switzerland,                Uruguay,                    2 - 1,2020-04-07 01:31:00
                Switzerland,                Argentina,                    2 - 1,2020-04-07 01:34:00
                Italy,                Croatia,                    0 - 1,2020-04-07 01:37:00
                Ivory Coast,                Bosnia H,                    0 - 2,2020-04-07 01:40:00
                Honduras,                Italy,                    3 - 1,2020-04-07 01:43:00
                Nigeria,                Spain,                    0 - 0,2020-04-07 01:46:00
                Ivory Coast,                Switzerland,                    1 - 1,2020-04-07 01:49:00
                Switzerland,                Bosnia H,                    1 - 3,2020-04-07 01:52:00
                Ukraine,                Greece,                    1 - 0,2020-04-07 01:55:00
                Mexico,                Costa Rica,                    1 - 2,2020-04-07 01:58:00
                Sweden,                Greece,                    0 - 1,2020-04-07 02:01:00
                Iran,                Ecuador,                    0 - 0,2020-04-07 02:04:00
                Nigeria,                Algeria,                    0 - 1,2020-04-07 02:07:00
                Croatia,                Portugal,                    0 - 1,2020-04-07 02:10:00
                Greece,                Holland,                    0 - 1,2020-04-07 02:13:00
                Spain,                Greece,                    0 - 0,2020-04-07 02:16:00
                USA,                South Korea,                    1 - 1,2020-04-07 02:19:00
                Italy,                England,                    2 - 2,2020-04-07 02:22:00
                Italy,                Poland,                    0 - 1,2020-04-07 02:25:00
                Germany,                South Korea,                    0 - 1,2020-04-07 02:28:00
                Spain,                Russia,                    1 - 1,2020-04-07 02:31:00
                Chile,                Brazil,                    2 - 0,2020-04-07 02:34:00
                Holland,                Russia,                    1 - 0,2020-04-07 02:37:00
                Greece,                France,                    0 - 2,2020-04-07 02:40:00
                Switzerland,                England,                    1 - 0,2020-04-07 02:43:00
                Poland,                Republic of Ireland,                    1 - 0,2020-04-07 02:46:00
                Ukraine,                Republic of Ireland,                    2 - 0,2020-04-07 02:49:00
                Poland,                Sweden,                    1 - 1,2020-04-07 02:52:00
                Bosnia H,                Portugal,                    0 - 2,2020-04-07 02:55:00
                Greece,                France,                    0 - 0,2020-04-07 02:58:00
                Spain,                Iran,                    3 - 0,2020-04-07 03:01:00
                Iran,                USA,                    2 - 2,2020-04-07 03:04:00
                Italy,                Russia,                    2 - 1,2020-04-07 03:07:00
                France,                Sweden,                    0 - 1,2020-04-07 03:10:00
                Ukraine,                Holland,                    4 - 0,2020-04-07 03:13:00
                Russia,                Ghana,                    1 - 2,2020-04-07 03:16:00
                Ghana,                Ecuador,                    1 - 3,2020-04-07 03:19:00
                Croatia,                Ukraine,                    1 - 3,2020-04-07 03:22:00
                France,                Japan,                    1 - 0,2020-04-07 03:25:00
                Honduras,                Greece,                    1 - 0,2020-04-07 03:28:00
                Switzerland,                Australia,                    2 - 1,2020-04-07 03:31:00
                Republic of Ireland,                Italy,                    1 - 1,2020-04-07 03:34:00
                Holland,                Czech Republic,                    0 - 3,2020-04-07 03:37:00
                Belgium,                Spain,                    3 - 1,2020-04-07 03:40:00
                Iran,                Spain,                    1 - 2,2020-04-07 03:43:00
                Ghana,                Honduras,                    1 - 1,2020-04-07 03:46:00
                Uruguay,                Iran,                    3 - 0,2020-04-07 03:49:00
                England,                Ecuador,                    2 - 1,2020-04-07 03:52:00
                Colombia,                Ecuador,                    0 - 1,2020-04-07 03:55:00
                Colombia,                Iran,                    2 - 0,2020-04-07 03:58:00
                Italy,                Costa Rica,                    1 - 3,2020-04-07 04:01:00
                England,                Ukraine,                    3 - 0,2020-04-07 04:04:00
                Italy,                Ukraine,                    1 - 2,2020-04-07 04:07:00
                Ukraine,                Spain,                    1 - 2,2020-04-07 04:10:00
                Germany,                Denmark,                    2 - 1,2020-04-07 04:13:00
                Italy,                Cameroon,                    0 - 0,2020-04-07 04:16:00
                Greece,                Honduras,                    2 - 0,2020-04-07 04:19:00
                England,                Holland,                    2 - 0,2020-04-07 04:22:00
                Poland,                Ukraine,                    0 - 1,2020-04-07 04:25:00
                Ukraine,                Czech Republic,                    2 - 0,2020-04-07 04:28:00
                Portugal,                Ukraine,                    2 - 1,2020-04-07 04:31:00
                Russia,                Sweden,                    0 - 2,2020-04-07 04:34:00
                Sweden,                Spain,                    3 - 0,2020-04-07 04:37:00
                France,                Spain,                    1 - 2,2020-04-07 04:40:00
                USA,                Ecuador,                    0 - 0,2020-04-07 04:43:00
                Brazil,                Algeria,                    2 - 2,2020-04-07 04:46:00
                Costa Rica,                Holland,                    2 - 0,2020-04-07 04:49:00
                England,                Denmark,                    1 - 3,2020-04-07 04:52:00
                Germany,                Portugal,                    3 - 1,2020-04-07 04:55:00
                Mexico,                Algeria,                    0 - 0,2020-04-07 04:58:00
                Bosnia H,                Ghana,                    0 - 0,2020-04-07 05:01:00
                Australia,                Honduras,                    2 - 0,2020-04-07 05:04:00
                USA,                Argentina,                    2 - 2,2020-04-07 05:07:00
                Spain,                Czech Republic,                    0 - 2,2020-04-07 05:10:00
                Germany,                Italy,                    2 - 0,2020-04-07 05:13:00
                Poland,                Denmark,                    2 - 1,2020-04-07 05:16:00
                Sweden,                Denmark,                    0 - 1,2020-04-07 05:19:00
                Poland,                Spain,                    2 - 0,2020-04-07 05:22:00
                Russia,                Germany,                    0 - 0,2020-04-07 05:25:00
                Croatia,                Czech Republic,                    0 - 0,2020-04-07 05:28:00
                Holland,                Mexico,                    1 - 0,2020-04-07 05:31:00
                Brazil,                Ecuador,                    2 - 0,2020-04-07 05:34:00
                Italy,                Sweden,                    0 - 1,2020-04-07 05:37:00
                France,                Russia,                    1 - 1,2020-04-07 05:40:00
                Japan,                Germany,                    1 - 1,2020-04-07 05:43:00
                Chile,                Italy,                    2 - 1,2020-04-07 05:46:00
                Spain,                Ukraine,                    2 - 1,2020-04-07 05:49:00
                Ghana,                USA,                    1 - 1,2020-04-07 05:52:00
                Holland,                Republic of Ireland,                    0 - 2,2020-04-07 05:55:00
                Belgium,                Colombia,                    3 - 0,2020-04-07 05:58:00
                England,                Poland,                    1 - 0,2020-04-07 06:01:00
                Ecuador,                Cameroon,                    2 - 0,2020-04-07 06:04:00
                Mexico,                Germany,                    2 - 2,2020-04-07 06:07:00
                Germany,                Bosnia H,                    0 - 1,2020-04-07 06:10:00
                Czech Republic,                Denmark,                    2 - 0,2020-04-07 06:13:00
                Brazil,                Belgium,                    0 - 1,2020-04-07 06:16:00
                Portugal,                Germany,                    1 - 1,2020-04-07 06:19:00
                Sweden,                Croatia,                    0 - 2,2020-04-07 06:22:00
                Ivory Coast,                Ecuador,                    3 - 1,2020-04-07 06:25:00
                Sweden,                Russia,                    1 - 1,2020-04-07 06:28:00
                Germany,                Spain,                    0 - 1,2020-04-07 06:31:00
                Germany,                Russia,                    2 - 2,2020-04-07 06:34:00
                Uruguay,                Russia,                    2 - 0,2020-04-07 06:37:00
                Costa Rica,                Greece,                    1 - 3,2020-04-07 06:40:00
                Nigeria,                Ecuador,                    1 - 0,2020-04-07 06:43:00
                Ukraine,                England,                    0 - 1,2020-04-07 06:46:00
                Holland,                England,                    2 - 1,2020-04-07 06:49:00
                England,                Spain,                    2 - 1,2020-04-07 06:52:00
                USA,                Iran,                    1 - 0,2020-04-07 06:55:00
                Greece,                Italy,                    1 - 0,2020-04-07 06:58:00
                Portugal,                Russia,                    1 - 1,2020-04-07 07:01:00
                Australia,                Iran,                    2 - 2,2020-04-07 07:04:00
                Bosnia H,                Iran,                    0 - 0,2020-04-07 07:07:00
                England,                Portugal,                    2 - 0,2020-04-07 07:10:00
                Spain,                Germany,                    0 - 1,2020-04-07 07:13:00
                France,                Greece,                    1 - 1,2020-04-07 07:16:00
                Portugal,                Spain,                    1 - 1,2020-04-07 07:19:00
                Switzerland,                Iran,                    3 - 1,2020-04-07 07:22:00
                Portugal,                England,                    2 - 2,2020-04-07 07:25:00
                Uruguay,                Ecuador,                    1 - 1,2020-04-07 07:28:00
                Republic of Ireland,                Greece,                    2 - 2,2020-04-07 07:31:00
                Honduras,                Algeria,                    1 - 0,2020-04-07 07:34:00
                Algeria,                England,                    1 - 0,2020-04-07 07:37:00
                England,                Greece,                    1 - 1,2020-04-07 07:40:00
                Czech Republic,                England,                    1 - 1,2020-04-07 07:43:00
                Republic of Ireland,                Czech Republic,                    4 - 0,2020-04-07 07:46:00
                Germany,                Republic of Ireland,                    0 - 1,2020-04-07 07:49:00
                Greece,                Brazil,                    1 - 2,2020-04-07 07:52:00
                Japan,                Uruguay,                    0 - 1,2020-04-07 07:55:00
                USA,                England,                    1 - 1,2020-04-07 07:58:00
                Iran,                Honduras,                    0 - 2,2020-04-07 08:01:00
                Australia,                Bosnia H,                    1 - 0,2020-04-07 08:04:00
                Argentina,                Greece,                    2 - 2,2020-04-07 08:07:00
                Croatia,                Italy,                    3 - 0,2020-04-07 08:10:00
                Cameroon,                USA,                    0 - 3,2020-04-07 08:13:00
                Croatia,                France,                    1 - 0,2020-04-07 08:16:00
                Russia,                Costa Rica,                    0 - 0,2020-04-07 08:19:00
                Portugal,                Denmark,                    2 - 1,2020-04-07 08:22:00
                Chile,                England,                    1 - 1,2020-04-07 08:25:00
                Portugal,                Poland,                    0 - 1,2020-04-07 08:28:00
                Croatia,                Uruguay,                    2 - 0,2020-04-07 08:31:00
                Poland,                Croatia,                    2 - 2,2020-04-07 08:34:00
                England,                Portugal,                    0 - 0,2020-04-07 08:37:00
                Germany,                England,                    2 - 1,2020-04-07 08:40:00
                Ecuador,                Honduras,                    1 - 2,2020-04-07 08:43:00
                Portugal,                Costa Rica,                    2 - 2,2020-04-07 08:46:00
                Colombia,                South Korea,                    1 - 1,2020-04-07 08:49:00
                Colombia,                Argentina,                    3 - 1,2020-04-07 08:52:00
                Poland,                Czech Republic,                    0 - 0,2020-04-07 08:55:00
                Argentina,                Colombia,                    0 - 1,2020-04-07 08:58:00
                Switzerland,                France,                    1 - 1,2020-04-07 09:01:00
                Holland,                Spain,                    1 - 2,2020-04-07 09:04:00
                Spain,                Argentina,                    0 - 1,2020-04-07 09:07:00
                England,                Greece,                    1 - 0,2020-04-07 09:10:00
                Spain,                South Korea,                    0 - 2,2020-04-07 09:13:00
                Argentina,                Bosnia H,                    1 - 1,2020-04-07 09:16:00
                Cameroon,                Ivory Coast,                    1 - 0,2020-04-07 09:19:00
                Uruguay,                Colombia,                    1 - 0,2020-04-07 09:22:00
                Uruguay,                Spain,                    3 - 0,2020-04-07 09:25:00
                Australia,                Colombia,                    3 - 1,2020-04-07 09:28:00
                Germany,                Poland,                    1 - 2,2020-04-07 09:31:00
                Holland,                Belgium,                    0 - 0,2020-04-07 09:34:00
                Argentina,                Costa Rica,                    1 - 2,2020-04-07 09:37:00
                Denmark,                England,                    1 - 0,2020-04-07 09:40:00
                South Korea,                Greece,                    2 - 0,2020-04-07 09:43:00
                Holland,                Czech Republic,                    1 - 0,2020-04-07 09:46:00
                Germany,                USA,                    0 - 3,2020-04-07 09:49:00
                Colombia,                Honduras,                    1 - 0,2020-04-07 09:52:00
                Belgium,                Ivory Coast,                    2 - 0,2020-04-07 09:55:00
                France,                Republic of Ireland,                    1 - 1,2020-04-07 09:58:00
                Poland,                Germany,                    0 - 1,2020-04-07 10:01:00
                England,                Republic of Ireland,                    0 - 4,2020-04-07 10:04:00
                Spain,                Brazil,                    1 - 0,2020-04-07 10:07:00
                England,                Ghana,                    0 - 0,2020-04-07 10:10:00
                Sweden,                Portugal,                    1 - 1,2020-04-07 10:13:00
                Colombia,                Algeria,                    1 - 1,2020-04-07 10:16:00
                Italy,                Denmark,                    2 - 2,2020-04-07 10:19:00
                Germany,                Denmark,                    0 - 1,2020-04-07 10:22:00
                Spain,                Denmark,                    1 - 2,2020-04-07 10:25:00
                Chile,                Cameroon,                    0 - 2,2020-04-07 10:28:00
                Bosnia H,                Spain,                    1 - 0,2020-04-07 10:31:00
                Holland,                France,                    0 - 3,2020-04-07 10:34:00
                Ivory Coast,                Nigeria,                    2 - 1,2020-04-07 10:37:00
                Russia,                France,                    3 - 0,2020-04-07 10:40:00
                Chile,                Iran,                    0 - 0,2020-04-07 10:43:00
                Croatia,                Republic of Ireland,                    1 - 3,2020-04-07 10:46:00
                Portugal,                Bosnia H,                    1 - 1,2020-04-07 10:49:00
                South Korea,                Brazil,                    1 - 0,2020-04-07 10:52:00
                Australia,                Holland,                    2 - 1,2020-04-07 10:55:00
                Iran,                Brazil,                    3 - 0,2020-04-07 10:58:00
                Honduras,                Italy,                    0 - 0,2020-04-07 11:01:00
                Brazil,                South Korea,                    0 - 0,2020-04-07 11:04:00
                Ukraine,                Spain,                    3 - 0,2020-04-07 11:07:00
                Bosnia H,                Costa Rica,                    1 - 2,2020-04-07 11:10:00
                Croatia,                Holland,                    3 - 0,2020-04-07 11:13:00
                Chile,                Ghana,                    2 - 0,2020-04-07 11:16:00
                Brazil,                Spain,                    1 - 1,2020-04-07 11:19:00
                Greece,                Portugal,                    1 - 0,2020-04-07 11:22:00
                Czech Republic,                Poland,                    1 - 1,2020-04-07 11:25:00
                Sweden,                England,                    3 - 1,2020-04-07 11:28:00
                Iran,                Russia,                    2 - 2,2020-04-07 11:31:00
                Greece,                Italy,                    2 - 1,2020-04-07 11:34:00
                Chile,                Germany,                    1 - 0,2020-04-07 11:37:00
                Algeria,                South Korea,                    0 - 0,2020-04-07 11:40:00
                France,                Greece,                    1 - 0,2020-04-07 11:43:00
                Portugal,                Sweden,                    0 - 2,2020-04-07 11:46:00
                Ghana,                Nigeria,                    0 - 0,2020-04-07 11:49:00
                Republic of Ireland,                Denmark,                    0 - 1,2020-04-07 11:52:00
                Denmark,                Italy,                    0 - 1,2020-04-07 11:55:00
                Greece,                Germany,                    0 - 0,2020-04-07 11:58:00
                Sweden,                France,                    1 - 2,2020-04-07 12:01:00
                Italy,                England,                    1 - 0,2020-04-07 12:04:00
                Honduras,                Germany,                    2 - 0,2020-04-07 12:07:00
                Germany,                Honduras,                    0 - 2,2020-04-07 12:10:00
                Germany,                Ukraine,                    0 - 1,2020-04-07 12:13:00
                Spain,                Croatia,                    1 - 1,2020-04-07 12:16:00
                USA,                Holland,                    3 - 1,2020-04-07 12:19:00
                Spain,                Portugal,                    1 - 2,2020-04-07 12:22:00
                Greece,                Spain,                    0 - 1,2020-04-07 12:25:00
                Republic of Ireland,                Russia,                    0 - 2,2020-04-07 12:28:00
                Algeria,                Nigeria,                    0 - 1,2020-04-07 12:31:00
                Spain,                Nigeria,                    1 - 1,2020-04-07 12:34:00
                Russia,                Republic of Ireland,                    1 - 1,2020-04-07 12:37:00
                Belgium,                France,                    2 - 0,2020-04-07 12:40:00
                Ukraine,                Portugal,                    3 - 0,2020-04-07 12:43:00
                Switzerland,                Nigeria,                    0 - 0,2020-04-07 12:46:00
                Sweden,                Poland,                    1 - 1,2020-04-07 12:49:00
                Ghana,                Algeria,                    3 - 0,2020-04-07 12:52:00
                Greece,                Croatia,                    3 - 1,2020-04-07 12:55:00
                Sweden,                Italy,                    3 - 1,2020-04-07 12:58:00
                Croatia,                Denmark,                    3 - 0,2020-04-07 13:01:00
                Italy,                Sweden,                    0 - 0,2020-04-07 13:04:00
                Denmark,                Greece,                    2 - 0,2020-04-07 13:07:00
                Ukraine,                Germany,                    1 - 0,2020-04-07 13:10:00
                England,                Portugal,                    1 - 0,2020-04-07 13:13:00
                South Korea,                Colombia,                    1 - 1,2020-04-07 13:16:00
                France,                Spain,                    4 - 0,2020-04-07 13:19:00
                Italy,                France,                    1 - 0,2020-04-07 13:22:00
                Republic of Ireland,                England,                    2 - 1,2020-04-07 13:25:00
                Croatia,                Ecuador,                    1 - 1,2020-04-07 13:28:00
                Holland,                Brazil,                    2 - 2,2020-04-07 13:31:00
                Holland,                Russia,                    1 - 3,2020-04-07 13:34:00
                Honduras,                Colombia,                    0 - 0,2020-04-07 13:37:00
                England,                Poland,                    1 - 2,2020-04-07 13:40:00
                Croatia,                Czech Republic,                    2 - 1,2020-04-07 13:43:00
                Spain,                Republic of Ireland,                    0 - 4,2020-04-07 13:46:00
                Ghana,                USA,                    1 - 2,2020-04-07 13:49:00
                Argentina,                Italy,                    0 - 1,2020-04-07 13:52:00
                England,                Italy,                    3 - 0,2020-04-07 13:55:00
                Italy,                Russia,                    0 - 2,2020-04-07 13:58:00
                Italy,                Czech Republic,                    2 - 0,2020-04-07 14:01:00
                Costa Rica,                Switzerland,                    2 - 1,2020-04-07 14:04:00
                Croatia,                Ukraine,                    1 - 1,2020-04-07 14:07:00
                Germany,                Greece,                    0 - 1,2020-04-07 14:10:00
                Ecuador,                Germany,                    2 - 1,2020-04-07 14:13:00
                Holland,                Mexico,                    0 - 3,2020-04-07 14:16:00
                Greece,                Republic of Ireland,                    0 - 3,2020-04-07 14:19:00
                Ecuador,                Brazil,                    2 - 1,2020-04-07 14:22:00
                Brazil,                Colombia,                    3 - 1,2020-04-07 14:25:00
                Holland,                Greece,                    1 - 2,2020-04-07 14:28:00
                Russia,                Croatia,                    1 - 0,2020-04-07 14:31:00
                Portugal,                Denmark,                    0 - 1,2020-04-07 14:34:00
                Mexico,                Uruguay,                    3 - 1,2020-04-07 14:37:00
                France,                Greece,                    2 - 1,2020-04-07 14:40:00
                England,                Cameroon,                    1 - 2,2020-04-07 14:43:00
                Portugal,                Japan,                    1 - 3,2020-04-07 14:46:00
                Italy,                Germany,                    2 - 2,2020-04-07 14:49:00
                Denmark,                Spain,                    0 - 1,2020-04-07 14:52:00
                Holland,                Germany,                    1 - 2,2020-04-07 14:55:00
                Germany,                Russia,                    0 - 2,2020-04-07 14:58:00
                Ghana,                Switzerland,                    1 - 1,2020-04-07 15:01:00
                Poland,                Denmark,                    1 - 3,2020-04-07 15:04:00
                Greece,                Poland,                    1 - 3,2020-04-07 15:07:00
                Nigeria,                Portugal,                    0 - 2,2020-04-07 15:10:00
                Ukraine,                France,                    2 - 1,2020-04-07 15:13:00
