address,classification,details,fone,link,name,position,has_instagram,has_facebook,link_problem,facebook_link,instagram_link
"       R. Antiocho Pereira, 2 - Cidade Nova, Porto União - SC, 89400-000      ","4,4",Drogaria,       (42) 3522-0808      ,       rodocentro.com.br      ,Farmácia Rodocentro,15,,,True,,
"       R. Pedro Mazurechen, 282 - São Pedro, Porto União - SC, 89400-000      ","4,7",Salão de Beleza,       (42) 99112-3416      ,,Neia Dolinski-Espaco de Beleza,16,,,,,
"       R. Prudente de Morais, 152 - Centro, União da Vitória - SC, 89400-000      ","4,5",Farmácia,       (42) 3522-0707      ,,Farmácia Uniao,17,,,,,
"       Av. Interventor Manoel Ribas, 333 - Centro, União da Vitória - PR, 84600-000      ","4,0",Drogaria,       (42) 3522-4643      ,,Farmácia Santa Catarina,18,,,,,
"       Av. João Pessoa, 2657 - São Pedro, Porto União - SC, 89400-000      ","4,2",Drogaria,       (42) 3522-8803      ,,FARMÁCIA SÃO PEDRO MASTERFARMA (NARA ALINE MEISTER),19,,,,,
"       Av. Getúlio Vargas, 475 - Centro, Porto União - SC, 89400-000      ",,Salão de Beleza,       (42) 99988-5006      ,       instagram.com      ,Grazi Javorski Salão e Estética,20,True,False,,,
"       Av. Interventor Manoel Ribas, 116 - Centro, União da Vitória - PR, 84600-000      ","4,0",Loja de departamento,       (42) 3521-2300      ,       magazineluiza.com.br      ,Magazine Luiza,2,False,True,,http://www.facebook.com/magazineluiza,
"       Av. Paula Freitas, 1144 - sl 2 - Nossa Sra. da Salete, União da Vitória - PR, 84600-000      ","4,7",Loja de Roupa,       (42) 3524-7026      ,       facebook.com      ,Ki Mania,3,True,True,,https://web.facebook.com/help/568137493302217,
"       R. Antiocho Pereira, 34 - Cidade Nova, Porto União - SC, 89400-000      ","4,7",Farmácia de medicamentos orgânicos,       (42) 3522-7885      ,       m.facebook.com      ,Biocentro Manipulação e Homeopatia,4,False,True,,/language.php?n=https%3A%2F%2Fm.facebook.com%2F&ref_component=mbasic_footer&ref_page=%2Fwap%2Findex.php&refid=8,
"       R. Carlos Cavalcante, 544 - Centro, União da Vitória - PR, 84600-130      ","4,8",Salão de Beleza,       (42) 99104-6131      ,       facebook.com      ,Belezaria Rayzel,5,True,True,,https://web.facebook.com/help/568137493302217,
"       Av. Interventor Manoel Ribas, 355 - Centro, União da Vitória - PR, 84600-000      ","4,8",Loja de Roupa,       (42) 3522-9478      ,       ciadamalha.com.br      ,Cia da malha - União da Vitória,6,,,True,,
"       Av. Santa Rosa - Santa Rosa, Porto União - SC, 89400-000      ","4,5",Salão de Beleza,       (42) 99805-0231      ,,Studio MZ,7,,,,,
"       sala, R. Prudente de Morais, 563 - Centro, União da Vitória - PR, 84600-000      ","5,0",Salão de Beleza,       (42) 3522-4761      ,,Cia. da Beleza,8,,,,,
"       Av. Interventor Manoel Ribas, 38 - Centro, União da Vitória - PR, 84600-000      ","4,2",Loja de departamento,       (42) 2130-5970      ,       pernambucanas.com.br      ,Pernambucanas,9,True,True,,https://www.facebook.com/pernambucanas/,https://www.instagram.com/pernambucanas/
"       R. Prudente de Morais, 332 - Centro, União da Vitória - SC, 89400-000      ",,Loja de Roupa,       (42) 99987-3580      ,       lojamimodobebe.com.br      ,Mimo do Bebê,10,,,True,,
"       Av. Interventor Manoel Ribas, 1276 - São Bernardo, União da Vitória - PR, 84600-000      ",,Farmácia,,       redefarmatotal.com.br      ,Farma Total,11,,,True,,
"       Av. João Pessoa, 2996 - São Pedro, Porto União - SC, 89400-000      ","4,8",Salão de Beleza,       (42) 3522-6134      ,,Karin Quagliotto Estheticehair,12,,,,,
