address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"Av. Cel. Marcos Konder, 1313 - Sala 704","4,7",Clínica odontológica, (47) 3045-3510 · ,,Laudares Odontologia Estética,60,,,,,
"Riviera Business Mall, Av. Osvaldo Reis, 3281 - 803","3,9",Clínica odontológica, (47) 99991-5380 · ,https://www.soulbrava.com.br/,Soul Brava Clinica,61,,True,True,https://www.facebook.com/soulbravaclinica/,https://www.instagram.com/soul_brava/
"anexo ao Ed.Torres, R. Paulo Caramuru da Silva, nº 27","5,0",Centro de saúde e beleza, (47) 99601-4457 · ,https://www.facebook.com/cintia.polvadesousa,Estética Flor de Lótus,62,,True,True,https://pt-br.facebook.com/flordelis.dossantosdesouza,
"R. Santo Agostinho, 409","5,0",Dentista, (47) 3361-7195 · ,,"Odontologia, Estética Facial e Psicologia Magnificat",63,,,,,
"R. Laguna, 143","4,6",Clínico geral, (47) 3045-6060 · ,http://linktr.ee/espacosaudeitajai,Espaço Saúde,64,True,,,,
"Av. Conselheiro João Gaya, 133","5,0",Clínica de cirurgia plástica, (47) 3342-1414 · ,http://www.clinicafisiocorp.com.br/,Clinica Fisiocorp,65,,True,True,https://www.facebook.com/Fisiocorp,https://www.instagram.com/fisio_corp/
"R. Indaial, 1060 - Sala 4","5,0",Centro de bem-estar, (47) 99737-5268 · ,https://msanteestetica.negocio.site/?utm_source=gmb&utm_medium=referral,M.Santé Estética e Bem-Estar,66,,False,False,,
"R. 1041, 177","5,0",Clínica de cirurgia plástica, (47) 3361-9105 · ,https://www.facebook.com/corpoeformabc/?ref=bookmarks,Corpo & Forma Clinica de Estetica,69,,True,True,https://web.facebook.com/help/cookies?ref_type=sitefooter,
"R. Mario Bento dos Passos, 1016","5,0",Terapeuta, (47) 99665-0130 · ,,Florenza Terapia e Estética,70,,,,,
"Av. Presidente, Av. Pref. José Juvenal Mafra, 185","5,0",Centro de saúde e beleza, (47) 3011-5578 · ,http://virtuosaestetica.com.br/,Clínica Estética Virtuosa - Navegantes,71,True,,,,
"R. Odílio García, n 397","4,9",Terapeuta, (47) 99634-0986 · ,http://mkterapiaeestetica.com.br/,Maicon Kangerski Terapia e Estética,72,,True,True,https://www.facebook.com/maiconkangerskiterapiaeestetica,https://www.instagram.com/maicon_terapia_e_estetica
