address,details,fone,link,name
"Av. Sete de Setembro, 4698",Imobiliária,(41) 99806-2070,http://www.curitiba.pr.gov.br/,curitiba
"Av. Manoel Ribas, 1489",Imobiliária,(41) 3044-9800,http://www.otimoveis.com.br/,Imobiliária Otimóveis
Curitiba,Imobiliária,(41) 3328-1000,http://www.avendaimoveis.com.br/,Avenda Imoveis
"Rua Cândido Xavier, 1081",Imobiliária,(41) 99810-6058,http://www.imoveisaquilar.com.br/contato,Imoveis Aquilar
"R. João Batista Trentin, 937",Imobiliária,(41) 3026-4387,http://www.svwimoveis.com.br/,SVW IMÓVEIS
"R. Gonçalves Dias, 95",Imobiliária,(41) 3343-1000,https://www.cesariopereiraimoveis.com.br/imoveis/contato,Cesario Imobiliaria
"R. Cândido Lopes, 205",Imobiliária,(41) 3155-1953,http://www.aptosnegociosimobiliarios.com.br/contato,APTOS Negócios Imobiliários
"Av. Winston Churchill, 1630 - 3º andar",Imobiliária,(41) 3346-5599,http://www.favrettoimoveis.com.br/,Favretto Imóveis
"R. Bpo. Dom José, 2423",Imobiliária,(41) 3342-2220,http://atriaimobiliaria.com.br/,Atria Imóveis
"Av. Manoel Ribas, 1879 - Sala 01",Imobiliária,(41) 3015-3023,https://www.viewimoveis.com.br/,View Imóveis
"R. Alberto Klemtz, 728",Imobiliária,(41) 3026-4443,http://www.schaeferimoveis.com/,SCHAEFER IMÓVEIS
"R. Cel. Amazonas Marcondes, 1472",Imobiliária,(41) 3352-7574,http://www.jlaimoveis.com.br/,JLA Corretora de Imóveis
"Av. Com. Franco, 3360",Imobiliária,(41) 3344-4040,http://www.cortezeimoveis.com.br/,Corteze Imóveis
"R. Eduardo Geronasso, 594",Imobiliária,(41) 3079-9999,http://www.deandradeimoveis.com.br/,C. de Andrade Imobiliária
"Alameda Augusto Stellfeld, 485",Imobiliária,(41) 3224-6464,http://www.paulocellesimoveis.com.br/,Paulo Celles Imóveis
"Av. Manoel Ribas, 279",Imobiliária,(41) 3149-9090,/aclk?sa=l&ai=DChcSEwi5qeTX--3pAhWWhJEKHWWDDWQYABABGgJjZQ&sig=AOD64_3YuPKd-Y88vZxYyrtRRpAD3D8dDg&adurl&q&ctype=99,Imobiliária Sergio Luiz
"Av. Paraná, 2288 - 402",Imobiliária,(41) 99758-8109,http://jhsouzaimoveis.com.br/,JHSOUZA IMOVEIS
"R. Prof. Nivaldo Braga, 193 - 07",Imobiliária,(41) 99684-2751,http://paesimoveiscuritiba.com.br/,Paes Assessoria Imobiliária
"Av. Winston Churchill, 2016",Imobiliária,(41) 3212-4600,http://www.awimoveis.com.br/,AW Imóveis
